"number","title","author","assignees","state","labels","url"
350,"[Suggestion]: Would be nice to have ability to combine potions into larger ones","","Unassigned","OPEN","Feedback","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/350"
349,"[Bug]: Claiming DCAR/DCAU","","neothon","OPEN","bug,High,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/349"
348,"[Bug]: Crafting - Azure Storage Bug","","Unassigned","CLOSED","bug,High,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/348"
347,"[Bug]: Limitless cotton and exp","Luci","Chaney08","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/347"
346,"[Bug]: After changing items, health and atack animations don't appear","Luci","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/346"
345,"[Bug]: Special event level up doesn't refresh HP and turns","Brainiac","Unassigned","OPEN","bug,Low","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/345"
344,"[Bug]: Not show quests popup when no hero present","Neothon","neothon","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/344"
343,"[Bug]: Level-up","Brainiac","neothon","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/343"
342,"[Bug]: Level-up screen","Brainiac","neothon","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/342"
341,"[Bug]:  heroStat.bonusHp doesn't exist.","","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/341"
340,"Feedback","Ertuğrul Sezer","Unassigned","OPEN","","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/340"
339,"[Bug]: blueprint item suffix doesn't match item property","","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/339"
338,"[Bug]: Double level up issue or forge ?","","Unassigned","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/338"
337,"[Bug]: End of fight screen after dying shows some text twice.","Brainiac","Unassigned","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/337"
336,"[Feedback]: Passive health regen in a fight","Brainiac","Unassigned","OPEN","","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/336"
335,"[Feedback] Crafting","Brainiac","Unassigned","OPEN","","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/335"
334,"[Feedback] Gathering","Brainiac","Unassigned","OPEN","","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/334"
333,"[Bug]: Gathering changes bug","Brainiac","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/333"
332,"[Enhancements] Pre-wipe tweaks","","Chaney08,Polypup,sam-thewise,neothon","OPEN","enhancement,High","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/332"
331,"[Bug]: Turn regeneration problem","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/331"
330,"[Enhancement] - Show what resource exotic materials can replace on hover","","sam-thewise","OPEN","enhancement,Low","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/330"
329,"[Bug]: Amnesia Gas does not show what it does when you Hover over it.","","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/329"
328,"[Bug]: Luck stats","ghostface.avax","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/328"
327,"[Bug]: issue with crafting preview for non blueprint items ","","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/327"
326,"[Bug]: Minor UI issue - Master / Legendary Potion","Siv","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/326"
325,"[Bug]: buy a song err.","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/325"
324,"[Bug]: Dragging item in crafters guild causes item to duplicate after removing","tenzy","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/324"
323,"[Bug]: Selling an item in DCAR shows DCAU in notifications","tenzy","neothon","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/323"
322,"[Bug]: Can Enter Mines w/o a Pickaxe","","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/322"
321,"Quality of life fix: Character equipment ","","Unassigned","OPEN","enhancement","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/321"
320,"Optional Update: Player stalls/shops and traders guild ","","Unassigned","OPEN","enhancement","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/320"
319,"[Quality of life]","","Unassigned","OPEN","enhancement","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/319"
318,"[Bug]: UX issue X button to close","","Unassigned","OPEN","enhancement","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/318"
317,"[Bug]: heroStat.bonusHp in unequipItem does not exist","","Polypup","CLOSED","bug,High,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/317"
316,"[Bug]: Leveling - When you level, you don't see the amount of exp you gained from action","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/316"
315,"[Bug]: Secondary weapon Duplicate Bug","ghostface.avax","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/315"
314,"[Bug]: Crafter's guild - Blueprint drag over blueprint doesn't reset quantity","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/314"
313,"[Bug]:  Crafter's guild - Crafting potion with stones of power","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/313"
312,"[Bug]: Have 10 turns, can't enter mines err. saying ""this hero doesn't have enough turns""","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/312"
311,"[Bug]: Crafter's guild - Switching character when blueprint is on doesn't update available stone number","Brainiac","Polypup","CLOSED","bug,Low,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/311"
310,"[Bug]: Magic&Attack stats on weapon Issue during battle","Friendly.Fire","sam-thewise","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/310"
309,"[Enhancement]: Quest reward, hover-tooltip request.","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/309"
308,"[Enhancement]: Add a success screen for crafting.","Neothon","neothon","CLOSED","enhancement,Medium,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/308"
307,"[Enhancement]: When you send out a tweet using the share link of your gear, there are no stat points shown","","Unassigned","CLOSED","enhancement","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/307"
306,"[Bug]: resurrection elixir display LOOT vs OWNED","","sam-thewise","CLOSED","bug,Low","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/306"
305,"[Enhancement]:  Finished quests should be removed from QuestList ","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/305"
304,"[Bug]: mine with a character that has turns  / swap to get exp that has 0 turns [yt video inc.]","","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/304"
303,"[Bug]: mining action has become too responsive and fast thus resulting in... [img attached]","","neothon","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/303"
302,"[Bug]: i somehow broke my stash [yt video inc.]","","neothon","OPEN","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/302"
301,"[Bug]: Crafting does not work probably for me.","tenzy","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/301"
300,"[Bug]: Crafting button greyed out if you press ""Max"" on item craft before placing materials first","tenzy","neothon","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/300"
299,"[Bug]: totalCrafting not defined on hero-api","","Polypup","CLOSED","bug,High,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/299"
298,"[Bug]: Cant use Legendary healing potion while in battle","ghostface.avax","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/298"
297,"[Issue]: Crafting prices","","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/297"
296,"[Bug]: not sure if this is a bug but happened ocasionally, getting matched with level 1 mobs.","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/296"
295,"[Bug]:  Cannot read properties of null (reading 'id')","","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/295"
294,"[Bug]: Fee Payment","","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/294"
293,"[Bug]: Share on twitter button doesn't display item mods/name correctly (Item tweet)","","Unassigned","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/293"
292,"[Bug]: Can visit healer's hut, groms bank, crafter's guild, marketplace & forge while withdrawing items from the stash","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/292"
291,"[Bug]: Direct Claim Disallowed - Withdraw item, cancel transaction, then break the items down","Brainiac","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/291"
290,"[Bug]: You can keep selecting items after 10 in the equipment stash","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/290"
289,"[Bug]: Crafting - Amnesia gas doesn't recognize blue magical dust in inventory","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/289"
288,"[Bug]: The forge - Levelling up in the forge gives you 9/10 turn","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/288"
287,"[Bug]: The forge - Clicking on a resource triggers a prompt ""Cannot break down resource""","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/287"
286,"[Bug]: Hero's health shows > 0 even though dead. But behaves like a dead hero.","Neothon","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/286"
285,"[Bug]: *Mainnet* Crafting - Gemstone of precision","Brainiac","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/285"
284,"[Bug]: Critical hit - No variance in damage","Brainiac","neothon","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/284"
283,"[Bug]: Mining / Gathering - ""Start gathering"" button showing wrong info","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/283"
282,":Enhancement: Skip a step when mining / gathring","Brainiac","Unassigned","OPEN","","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/282"
281,"[Bug]: Spam clicking ""keep searching"" in the mines error","Brainiac","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/281"
280,":Enhancement: Custom inventory screens depending on location","Brainiac","Polypup","CLOSED","Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/280"
279,":Enhancement: Crafting bench","Brainiac","Unassigned","OPEN","","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/279"
278,"[Bug]: Crafting - DCAR price for blueprint doesn't update until crafting materials are placed","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/278"
277,"[Bug]: Resurection Elixir usable while alive in-combat","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/277"
276,"[Bug]: When gathering/mining, if you search with 1 turn, you can't gather in that turn #262","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/276"
275,"[Bug]: Crafting - Disappearing blueprints","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/275"
274,"[Bug]: Amnesia Gas resets action bar","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/274"
273,":Enhancement: Add a ""Claim all"" button for resources in the stash","Brainiac","Unassigned","CLOSED","","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/273"
272,"[Bug]: Level up - You can heal twice from level up","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/272"
271,"[Bug]: Autoplay doesn't keep going after using a ressurection elixir","Brainiac","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/271"
270,"[Bug]: Craft issue with bandages","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/270"
269,"[Bug]: Healing mid-fight with pre-arranged metamask TX prompt.","","neothon","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/269"
268,"[Bug]: Hard to fit in everything in here, please watch the provided youtube video and read the explanation","","Polypup","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/268"
267,"[Bug]: potion of elixir and resurrection at healer's hut","","Polypup","CLOSED","bug,Currently Working,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/267"
266,"[Bug]: Can use a potion or bandage while at 100% health","","Polypup","CLOSED","bug,Currently Working,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/266"
265,"[Bug]: When harvesting cotton in the Deepwood, I can continue to harvest indefinitely","Siv","sam-thewise","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/265"
264,"[New Feature] New nest frontend for staking interface","","Unassigned","CLOSED","enhancement","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/264"
263,"[Enhancement] - Enable equipment/weapon damage system, enable repairing equipment","","Chaney08,Polypup,sam-thewise,neothon","CLOSED","enhancement,Medium","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/263"
262,"[Bug]: When gathering/mining, if you search with 1 turn, you can't gather in that turn","","Chaney08","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/262"
261,"[Bug]: Unable to claim rewards on completed quest","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/261"
260,"[Bug]: Completed quest after fighting different mob","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/260"
259,"[Tweak]: Update DCAU rate being used in healer's hut.","Neothon","Polypup,sam-thewise,neothon","OPEN","bug,enhancement","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/259"
258,"[Enhancement] Reduce loot from fights","","sam-thewise","CLOSED","enhancement,High","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/258"
257,"[Enhancement] Scaling EXP for crafting items","","sam-thewise","CLOSED","enhancement,Medium","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/257"
256,"[Enhancement] Allow craft quantity when crafting blueprints","","Chaney08","CLOSED","enhancement,Medium","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/256"
255,"[Bug]: After breaking down items, while waiting for tx to pass, you can select extra items in your inventory","tenzy","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/255"
254,"[Bug]: Spamming autoplay button on plains kills enemy way faster","tenzy","neothon","CLOSED","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/254"
253,"[Bug]: Weird Animations when playing with Ultra Wide Monitor","","neothon","OPEN","bug,Currently Working","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/253"
252,"[Enhancement] DCAR Scales with Quality of Crafted items","","Polypup,sam-thewise,neothon","CLOSED","enhancement,High,Currently Working","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/252"
251,"[Enhancement]: Higher tier resources need exp multipliers","","sam-thewise","CLOSED","enhancement,Medium","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/251"
250,"[Bug]: When you have no turns left, the approve DCAR button is greyed out in the crafters guild","","Polypup","CLOSED","bug,Low,Currently Working","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/250"
249,"[Bug]: Heroes UI glitch","bubee","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/249"
248,"[Bug]: Use quantity from signature instead of current quantity in stash. In case of ERC1155s ","Neothon","neothon","OPEN","bug,High,Currently Working","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/248"
247,"[Enhancement]: Help videos","Neothon","neothon","CLOSED","enhancement","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/247"
246,"[Bug]: Trying to breakdown my old leggings gives me error: ""Equipmentburn: Not owner of equipment""","tenzy","Polypup","CLOSED","bug,Currently Working","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/246"
245,"Can't search the plains due to pending token claim.","bubee","neothon","CLOSED","","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/245"
244,"[Bug]: Trying to breakdown in inventory (crafting menu -> breakdown) is not working.","tenzy","Chaney08,Polypup","CLOSED","bug,Currently Working","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/244"
243,"[Bug]: Flee'ing the scene after finding a chest or a man in the plains, gives a error message.","tenzy","sam-thewise","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/243"
241,"[Bug]: Display wrong HP after apply Endurance points","","Polypup","CLOSED","bug,Currently Working","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/241"
240,"[Bug]: Level 1 gathering in the mines cannot hit the iron ore more than once.","Brainiac","sam-thewise","CLOSED","bug,Medium","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/240"
239,"[Bug]: Spam clicking in the mines bugs out UI","Brainiac","Unassigned","CLOSED","bug,Low","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/239"
238,"[Bug]: Elixir of life / Legendary healing potion","Brainiac","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/238"
237,"[Bug]: Stash breakdown - Some items do not disappear after breakdown","Brainiac","Polypup","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/237"
236,"[Bug]: Crafting certain resources causes server crash and does not recover","","Unassigned","CLOSED","bug,High","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/236"
235,"[Bug]: Blueprints select for breakdown allows transaction but nothing happens afterwards","","Polypup","CLOSED","bug,Medium","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/235"
234,"[Bug]: free healing from heath equipment","","Polypup","CLOSED","bug,Currently Working","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/234"
233,"[Bug]: Find event in planes - swapping characters and leaving it breaks UI","","Polypup","CLOSED","bug,Medium,Currently Working","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/233"
232,"[Enhancement]: using level 1 hero's to farm high level loot","","Polypup","CLOSED","bug,Medium,Currently Working","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/232"
231,"[Bug]: when serching on market, cannot us x2 words to narrow search","","Unassigned","OPEN","enhancement,Low","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/231"
230,"[Bug]: breakdown failed and message appeared - erc721 - owner query for nonexistent token","","Unassigned","CLOSED","bug,Medium","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/230"
229,"[Bug]: multiple selected items stay selected when equipped, inventory closed, character changed - linked breakdown","","neothon","CLOSED","bug,Low","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/229"
228,"[Bug]: Breakdown from inventory doesnt work","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/228"
227,"Suggestion: When Claiming Tokens in Your Stash, Have Option for Selecting Both DCAU and DCAR","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/227"
224,"UI Bug: iventory on top of character screen","","neothon","CLOSED","bug,Medium","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/224"
223,"[Enhancement]: New level and quest screens","","sam-thewise","OPEN","enhancement,Medium","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/223"
222,"[Bug]: Searching mines does not cost a turn","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/222"
221,"[Bug]: Unable to mine Gem Shards","","Polypup,sam-thewise","CLOSED","bug,Low","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/221"
220,"[Bug]: *Server crashing bug*  Crafting - Attempting to put better quality resources does not change the outcome of the item","Brainiac","Chaney08,sam-thewise","CLOSED","bug,High","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/220"
219,"[Bug]: Crafting - Stones of power do not get burned when crafting","Brainiac","Polypup","CLOSED","bug,High,Currently Working","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/219"
218,"[Bug]: level happens on log before hit takes place","","Unassigned","OPEN","bug,Low","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/218"
217,"[Bug]: ""Flee from battle"" selectable while looking at consumables ","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/217"
